"G","Date","Tm","X","Opp","Result","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","Player","RSorPO"
45,"1997-02-23","LAL","","NYK","L",0,"4:00",0,2,0,0,1,0,0,0,NA,0,1,1,0,0,0,0,1,0,-1.5,"Kobe Bryant","Regular Season"
46,"1997-02-28","LAL","@","ATL","L",0,"1:00",0,1,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,-0.7,"Kobe Bryant","Regular Season"
47,"1997-03-02","LAL","@","IND","L",0,"22:00",4,9,0.44,0,1,0,2,2,1,1,0,1,1,0,0,1,1,10,5.3,"Kobe Bryant","Regular Season"
48,"1997-03-04","LAL","@","DAL","W",0,"6:00",0,2,0,0,1,0,0,0,NA,1,1,2,0,0,0,0,0,0,-0.4,"Kobe Bryant","Regular Season"
49,"1997-03-07","LAL","","HOU","L",0,"17:00",3,10,0.3,0,4,0,2,2,1,0,1,1,1,1,0,1,1,8,2.8,"Kobe Bryant","Regular Season"
50,"1997-03-09","LAL","","NJN","W",0,"26:00",3,6,0.5,1,3,0.33,5,5,1,1,1,2,2,2,1,0,3,12,12.9,"Kobe Bryant","Regular Season"
51,"1997-03-12","LAL","","GSW","W",0,"18:00",6,10,0.6,4,6,0.67,2,3,0.67,1,0,1,0,3,0,3,4,18,12.1,"Kobe Bryant","Regular Season"
52,"1997-03-14","LAL","","LAC","L",0,"26:00",6,13,0.46,3,4,0.75,1,2,0.5,2,2,4,1,3,0,1,2,16,12.8,"Kobe Bryant","Regular Season"
53,"1997-03-16","LAL","","TOR","W",0,"23:00",2,9,0.22,2,7,0.29,4,4,1,1,4,5,1,0,0,1,2,10,5.3,"Kobe Bryant","Regular Season"
54,"1997-03-17","LAL","@","DEN","W",0,"10:00",3,7,0.43,2,4,0.5,0,0,NA,0,0,0,1,2,0,1,0,8,6,"Kobe Bryant","Regular Season"
55,"1997-03-20","LAL","@","CLE","W",0,"3:00",0,1,0,0,0,NA,0,0,NA,0,1,1,1,0,0,2,1,0,-2.1,"Kobe Bryant","Regular Season"
56,"1997-03-21","LAL","@","MIA","L",0,"3:00",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,"Kobe Bryant","Regular Season"
57,"1997-03-23","LAL","@","ORL","L",0,"19:00",3,6,0.5,0,1,0,2,2,1,1,1,2,4,0,0,4,1,8,4.4,"Kobe Bryant","Regular Season"
58,"1997-03-24","LAL","@","NJN","W",0,"9:00",2,3,0.67,0,0,NA,2,3,0.67,1,0,1,0,0,0,1,0,6,4,"Kobe Bryant","Regular Season"
59,"1997-03-26","LAL","","MIL","W",1,"32:00",7,14,0.5,2,4,0.5,3,4,0.75,0,1,1,4,2,0,1,1,19,15.3,"Kobe Bryant","Regular Season"
60,"1997-03-27","LAL","@","VAN","W",1,"43:00",6,16,0.38,1,5,0.2,7,7,1,4,4,8,4,3,0,3,3,20,16.8,"Kobe Bryant","Regular Season"
61,"1997-04-01","LAL","@","SEA","W",0,"12:00",4,5,0.8,1,1,1,0,0,NA,0,1,1,1,0,0,2,5,9,4.1,"Kobe Bryant","Regular Season"
62,"1997-04-02","LAL","","DEN","W",0,"16:00",2,6,0.33,0,0,NA,2,2,1,1,2,3,3,1,0,1,1,6,5.6,"Kobe Bryant","Regular Season"
63,"1997-04-04","LAL","","SAS","L",0,"17:00",4,6,0.67,0,1,0,7,7,1,0,0,0,3,0,0,3,2,15,10.7,"Kobe Bryant","Regular Season"
64,"1997-04-06","LAL","","DAL","W",0,"22:00",3,9,0.33,2,4,0.5,5,5,1,1,1,2,3,3,0,1,3,13,11.8,"Kobe Bryant","Regular Season"
65,"1997-04-08","LAL","@","GSW","W",0,"25:00",9,11,0.82,2,3,0.67,4,7,0.57,1,1,2,3,1,0,5,3,24,16.6,"Kobe Bryant","Regular Season"
66,"1997-04-09","LAL","@","UTA","L",0,"34:00",3,12,0.25,1,2,0.5,4,6,0.67,1,1,2,3,1,0,2,2,11,4.3,"Kobe Bryant","Regular Season"
67,"1997-04-11","LAL","","PHO","W",1,"28:00",3,7,0.43,1,2,0.5,0,0,NA,1,0,1,1,1,0,1,2,7,3.9,"Kobe Bryant","Regular Season"
68,"1997-04-13","LAL","","UTA","W",0,"16:00",3,5,0.6,0,1,0,6,6,1,1,0,1,4,0,1,1,0,12,12.9,"Kobe Bryant","Regular Season"
69,"1997-04-17","LAL","","SAC","W",0,"16:00",1,4,0.25,0,1,0,1,2,0.5,0,2,2,1,1,0,3,2,3,-1.3,"Kobe Bryant","Regular Season"
70,"1997-04-18","LAL","@","LAC","W",0,"15:00",0,0,NA,0,0,NA,5,8,0.62,0,1,1,2,0,0,2,1,5,3.1,"Kobe Bryant","Regular Season"
71,"1997-04-20","LAL","@","POR","L",0,"4:00",0,0,NA,0,0,NA,2,2,1,0,1,1,1,0,1,2,0,2,1.7,"Kobe Bryant","Regular Season"
1,"1997-10-31","LAL","","UTA","W",0,"33:00",5,13,0.38,0,2,0,13,14,0.93,0,3,3,5,1,0,1,1,23,19.5,"Kobe Bryant","Regular Season"
2,"1997-11-04","LAL","@","SAC","W",0,"21:00",2,10,0.2,0,2,0,0,0,NA,2,1,3,3,2,1,3,1,4,0.9,"Kobe Bryant","Regular Season"
3,"1997-11-07","LAL","","NYK","W",0,"20:00",1,9,0.11,0,2,0,2,3,0.67,0,1,1,1,1,0,0,2,4,-1.1,"Kobe Bryant","Regular Season"
4,"1997-11-09","LAL","","GSW","W",0,"24:00",11,18,0.61,2,3,0.67,1,2,0.5,2,1,3,5,3,1,0,1,25,24.9,"Kobe Bryant","Regular Season"
5,"1997-11-16","LAL","","VAN","W",0,"16:00",2,6,0.33,1,4,0.25,6,6,1,0,1,1,1,0,0,2,2,11,5.8,"Kobe Bryant","Regular Season"
6,"1997-11-18","LAL","@","UTA","W",0,"29:00",4,10,0.4,0,2,0,11,12,0.92,1,4,5,2,0,2,2,2,19,15.1,"Kobe Bryant","Regular Season"
7,"1997-11-19","LAL","","MIN","W",0,"34:00",9,18,0.5,1,5,0.2,1,1,1,0,3,3,3,2,0,2,2,20,13.2,"Kobe Bryant","Regular Season"
8,"1997-11-23","LAL","","LAC","W",0,"29:00",8,21,0.38,0,2,0,8,9,0.89,3,2,5,4,4,0,1,3,24,19.4,"Kobe Bryant","Regular Season"
9,"1997-11-25","LAL","@","MIA","L",0,"27:00",7,21,0.33,1,5,0.2,1,5,0.2,2,0,2,3,3,0,2,2,16,6.2,"Kobe Bryant","Regular Season"
10,"1997-11-26","LAL","@","BOS","W",0,"28:00",5,11,0.45,1,1,1,3,8,0.38,2,3,5,2,1,0,7,1,14,3.6,"Kobe Bryant","Regular Season"
11,"1997-11-28","LAL","@","PHI","L",0,"23:00",7,11,0.64,3,5,0.6,2,5,0.4,1,1,2,1,0,1,4,4,19,9.7,"Kobe Bryant","Regular Season"
12,"1997-11-30","LAL","","TOR","W",0,"19:00",2,8,0.25,0,1,0,2,2,1,0,5,5,3,1,0,2,3,6,2.6,"Kobe Bryant","Regular Season"
